timestamp,accel_x,accel_y,accel_z,label
5647,-2.0000,1.9999,-1.5549,imbalance
85652,-2.0000,1.9999,-1.5549,imbalance
85657,1.9999,1.0935,1.9999,imbalance
85662,-2.0000,-1.3484,0.7563,imbalance
85667,1.9999,-2.0000,-2.0000,imbalance
85672,-2.0000,1.9999,1.9999,imbalance
85677,1.9999,1.6406,-0.5559,imbalance
85682,1.9999,1.3135,1.1765,imbalance
85687,-2.0000,-1.0244,0.4182,imbalance
85692,1.9999,-2.0000,-2.0000,imbalance
85697,-1.8772,1.9999,1.9999,imbalance
85702,-2.0000,1.9999,-1.0510,imbalance
85707,1.9999,1.5396,-0.0001,imbalance
85712,-2.0000,-0.4539,0.3330,imbalance
85717,1.9999,-0.0157,-0.0157,imbalance
85722,1.4692,1.9999,1.9999,imbalance
85727,-2.0000,-2.0000,-2.0000,imbalance
85732,1.9999,1.4614,-1.4250,imbalance
85737,-2.0000,0.1772,0.4248,imbalance
85742,1.9999,-2.0000,-2.0000,imbalance
85747,1.9999,1.8264,1.9999,imbalance
85752,1.9999,1.8264,1.9999,imbalance
85757,1.9999,1.8264,1.9999,imbalance
85762,-2.0000,-2.0000,-2.0000,imbalance
85767,1.9999,-2.0000,-2.0000,imbalance
85772,1.9999,1.1794,1.9999,imbalance
85777,-2.0000,0.3408,1.3723,imbalance
85782,1.9999,-0.0764,-2.0000,imbalance
85787,-2.0000,-0.5017,-2.0000,imbalance
85792,-2.0000,-2.0000,-2.0000,imbalance
85797,1.9999,0.8025,1.9999,imbalance
85802,1.9999,1.4895,-1.5906,imbalance
85807,1.9999,-1.1792,-2.0000,imbalance
85812,-2.0000,1.7246,-2.0000,imbalance
85817,-2.0000,1.7246,-2.0000,imbalance
85822,-2.0000,1.7246,-2.0000,imbalance
85827,-2.0000,-1.3176,1.0378,imbalance
85832,1.9999,-2.0000,-2.0000,imbalance
85837,-2.0000,1.9626,1.9999,imbalance
85842,-2.0000,1.6667,-2.0000,imbalance
85847,1.9999,1.1555,1.8096,imbalance
85852,-2.0000,-1.1326,0.6328,imbalance
85857,1.9999,-2.0000,-2.0000,imbalance
85862,-2.0000,1.9999,1.9999,imbalance
85867,1.9999,1.4719,-1.6633,imbalance
85872,1.9999,1.5540,-0.1794,imbalance
85877,-2.0000,-0.4253,0.3906,imbalance
85882,1.9999,-2.0000,-2.0000,imbalance
85887,1.9587,1.9999,1.9999,imbalance
85892,1.9999,0.8137,-2.0000,imbalance
85897,1.9999,1.4785,-1.5564,imbalance
85902,-2.0000,0.3013,0.5232,imbalance
85907,1.9999,-2.0000,-2.0000,imbalance
85912,1.9999,1.7566,1.9999,imbalance
85917,-2.0000,1.7085,0.8857,imbalance
85922,1.9999,0.8123,-2.0000,imbalance
85927,-2.0000,0.9321,0.9150,imbalance
85932,1.9999,-1.8753,-0.0628,imbalance
85937,1.9999,1.2620,1.9999,imbalance
85942,-2.0000,0.5034,1.3591,imbalance
85947,-2.0000,0.5034,1.3591,imbalance
85952,-2.0000,1.4312,1.6714,imbalance
85957,1.9999,0.9570,-2.0000,imbalance
85962,1.9999,0.8550,1.9999,imbalance
85967,-2.0000,1.9999,-1.2097,imbalance
85972,-2.0000,1.9999,-1.2097,imbalance
85977,-2.0000,1.6758,1.9999,imbalance
85982,-2.0000,-0.4583,-2.0000,imbalance
85987,1.9999,0.9045,1.9999,imbalance
85992,-2.0000,-1.3311,1.0586,imbalance
85997,1.9999,-2.0000,-2.0000,imbalance
86002,-2.0000,1.9956,1.9999,imbalance
86007,1.9999,1.6057,-0.1331,imbalance
86012,1.9999,1.1870,1.5681,imbalance
86017,1.9999,-0.1489,-2.0000,imbalance
86022,1.9999,0.7075,-2.0000,imbalance
86027,-2.0000,1.9999,1.9999,imbalance
86032,-2.0000,1.9999,-1.1240,imbalance
86037,-2.0000,1.9999,-1.1240,imbalance
86042,1.9999,1.5354,-0.2290,imbalance
86047,1.9999,-2.0000,-2.0000,imbalance
86052,1.9999,1.9999,1.9999,imbalance
86057,-2.0000,1.9999,-0.1311,imbalance
86062,1.9999,1.4456,-1.6128,imbalance
86067,-2.0000,0.2292,0.4924,imbalance
86072,1.9999,-2.0000,-2.0000,imbalance
86077,1.9999,1.7131,1.9999,imbalance
86082,-2.0000,1.7761,0.8789,imbalance
86087,1.9999,0.9260,-2.0000,imbalance
86092,-2.0000,0.9788,0.9365,imbalance
86097,1.9999,-2.0000,-2.0000,imbalance
86102,1.9999,1.0767,1.9999,imbalance
86107,-2.0000,0.3743,1.4507,imbalance
86112,1.9999,-0.0681,-2.0000,imbalance
86117,-2.0000,1.3945,1.6934,imbalance
86122,-2.0000,-2.0000,-2.0000,imbalance
86127,1.9999,0.7383,1.9999,imbalance
86132,-2.0000,1.9999,-0.9971,imbalance
86137,1.9999,-1.4724,-2.0000,imbalance
86142,1.9999,-1.4724,-2.0000,imbalance
86147,-2.0000,0.4277,-2.0000,imbalance
86152,1.9999,0.9622,1.9999,imbalance
86157,-2.0000,-1.3076,0.9639,imbalance
86162,1.9999,-0.0157,-0.0157,imbalance
86167,-2.0000,1.9999,1.9999,imbalance
86172,-2.0000,1.9999,-1.1917,imbalance
86177,1.9999,1.5427,-0.2905,imbalance
86182,-2.0000,-0.2627,0.7166,imbalance
86187,1.9999,-2.0000,-2.0000,imbalance
86192,1.9999,1.9999,1.9999,imbalance
86197,1.9999,0.3545,-2.0000,imbalance
86202,1.9999,1.0447,-2.0000,imbalance
86207,-2.0000,0.9175,1.2253,imbalance
86212,1.4014,-2.0000,-2.0000,imbalance
86217,1.9999,1.1353,1.9999,imbalance
86222,-2.0000,1.9999,-1.9973,imbalance
86227,1.9999,-0.0157,-0.0157,imbalance
86232,1.9999,1.9999,1.9999,imbalance
86237,-2.0000,1.9999,0.5872,imbalance
86242,1.9999,1.0918,-2.0000,imbalance
86247,-2.0000,0.9534,1.1338,imbalance
86252,-2.0000,0.9534,1.1338,imbalance
86257,-2.0000,0.9534,1.1338,imbalance
86262,-2.0000,1.8062,-2.0000,imbalance
86267,1.9999,-0.1746,-2.0000,imbalance
86272,-2.0000,1.5225,1.9565,imbalance
86277,-2.0000,-2.0000,-2.0000,imbalance
86282,1.9999,0.7954,1.9999,imbalance
86287,-2.0000,-1.0957,1.3386,imbalance
86292,1.9999,1.5051,-0.7825,imbalance
86297,-2.0000,1.9263,1.9999,imbalance
86302,-2.0000,0.7856,-2.0000,imbalance
86307,1.9999,0.9790,1.9999,imbalance
86312,-2.0000,-1.3396,0.8159,imbalance
86317,1.9999,-2.0000,-2.0000,imbalance
86322,-2.0000,1.9999,1.9999,imbalance
86327,-2.0000,1.9999,-1.4429,imbalance
86332,1.9999,1.3569,0.2275,imbalance
86337,-2.0000,-0.6636,0.5369,imbalance
86342,1.9999,-2.0000,-2.0000,imbalance
86347,0.6226,1.9999,1.9999,imbalance
86352,-2.0000,1.9999,-0.4314,imbalance
86357,1.9999,1.3528,-1.4365,imbalance
86362,-2.0000,0.1072,0.6670,imbalance
86367,1.9999,-2.0000,-2.0000,imbalance
86372,-2.0000,1.3804,-2.0000,imbalance
86377,-2.0000,1.8799,0.7070,imbalance
86382,1.9999,0.8037,-2.0000,imbalance
86387,-2.0000,0.9651,1.2119,imbalance
86392,1.9999,1.3760,-1.6628,imbalance
86397,1.9999,1.3022,1.9999,imbalance
86402,-2.0000,0.1602,1.3904,imbalance
86407,1.9999,-0.4351,-2.0000,imbalance
86412,-2.0000,1.6018,1.9999,imbalance
86417,-2.0000,-1.8748,-2.0000,imbalance
86422,1.9999,0.8818,1.9999,imbalance
86427,-2.0000,-1.2974,1.2424,imbalance
86432,1.9999,-2.0000,-2.0000,imbalance
86437,-2.0000,1.9999,1.9999,imbalance
86442,1.9999,1.5181,-0.9934,imbalance
86447,1.9999,1.3472,0.1191,imbalance
86452,-2.0000,-0.5437,0.6189,imbalance
86457,1.9999,-2.0000,-2.0000,imbalance
86462,1.9999,1.9999,1.9999,imbalance
86467,-2.0000,-1.5767,-2.0000,imbalance
86472,1.9999,0.9878,-2.0000,imbalance
86477,-2.0000,1.1030,1.3284,imbalance
86482,-0.4043,-2.0000,-2.0000,imbalance
86487,1.9999,0.9153,1.9999,imbalance
86492,-2.0000,1.9999,-1.3477,imbalance
86497,1.9999,-1.2031,-2.0000,imbalance
86502,-2.0000,1.9999,1.9999,imbalance
86507,-2.0000,0.4478,-2.0000,imbalance
86512,1.9999,0.9729,1.9999,imbalance
86517,-2.0000,-1.1594,-2.0000,imbalance
86522,1.9999,0.8193,-2.0000,imbalance
86527,-1.4243,1.9999,1.9999,imbalance
86532,-1.4243,1.9999,1.9999,imbalance
86537,-1.4243,1.9999,1.9999,imbalance
