timestamp,accel_x,accel_y,accel_z,label
17240,-0.5508,-0.1543,0.4873,loose
17245,0.1682,0.0747,0.5356,loose
17250,0.4414,-0.1116,0.2805,loose
17255,0.3367,-0.1255,0.7124,loose
17260,0.0098,0.0391,0.4219,loose
17265,-0.4294,-0.4031,0.3672,loose
17270,-0.1306,0.1921,0.6594,loose
17275,0.2368,-0.1272,0.2258,loose
17280,0.0273,0.1013,0.5437,loose
17285,0.0273,0.1013,0.5437,loose
17290,0.0273,0.1013,0.5437,loose
17295,-0.4919,-0.0122,0.5317,loose
17300,0.2139,0.0425,0.4209,loose
17305,0.5168,-0.0671,0.3975,loose
17310,0.2112,-0.0146,0.7515,loose
17315,0.0115,0.0068,0.3542,loose
17320,-0.3816,-0.3469,0.3169,loose
17325,-0.1067,0.2163,0.6323,loose
17330,0.1890,-0.0649,0.2720,loose
17335,0.6096,-0.0964,0.7422,loose
17340,-0.0293,0.1240,0.5171,loose
17345,-0.0164,-0.2874,0.3213,loose
17350,-0.5586,-0.1106,0.4458,loose
17355,0.1475,0.1077,0.5249,loose
17360,0.3652,-0.0532,0.3677,loose
17365,0.3330,-0.0825,0.7822,loose
17370,0.0293,0.1384,0.3604,loose
17375,-0.2307,-0.3530,0.2798,loose
17380,-0.3113,0.1548,0.6089,loose
17385,0.2134,0.0125,0.3330,loose
17390,0.5088,-0.1145,0.5415,loose
17395,0.1501,-0.0308,0.6667,loose
17400,0.0151,-0.0286,-1.5003,loose
17405,-0.3923,-0.3442,0.2986,loose
17410,-0.1360,0.2051,0.6274,loose
17415,0.2441,-0.0046,0.2368,loose
17420,0.5154,-0.0234,0.7483,loose
17425,-0.6404,-2.0000,0.6389,loose
17430,-0.0542,-0.5415,-0.0471,loose
17435,-0.0542,-0.5415,-0.0571,loose
17440,-0.2351,-0.0806,0.4351,loose
17445,0.3499,-0.2722,0.2751,loose
17450,0.4229,0.2161,0.8423,loose
17455,0.4229,0.2161,0.8423,loose
17460,-0.2124,-0.0964,0.2256,loose
17465,-0.3833,0.2432,0.5688,loose
17470,0.0674,-0.2327,0.1716,loose
17475,0.4390,-0.0750,0.5576,loose
17480,0.2703,0.1714,0.8743,loose
17485,0.0937,0.0937,0.3582,loose
17490,-0.2322,-0.3669,0.2024,loose
17495,-0.2722,0.0874,0.4985,loose
17500,0.2925,-0.3687,0.1279,loose
17505,0.1992,0.1697,0.6794,loose
17510,0.1777,0.1472,0.6335,loose
17515,-0.0037,-0.2017,0.1792,loose
17520,-0.3108,-0.1589,0.4011,loose
17525,-0.0061,-0.2139,0.2219,loose
17530,0.1245,0.2312,0.6372,loose
17535,0.2290,0.0649,0.9390,loose
17540,0.1357,0.1335,0.4854,loose
17545,-0.1411,-0.4460,0.1616,loose
17550,0.2241,0.0742,0.7910,loose
17555,0.2046,0.1316,0.6553,loose
17560,0.2166,0.1499,0.5051,loose
17565,0.2507,0.1570,0.4124,loose
17570,0.0229,-0.2998,-0.0049,loose
17575,-0.1536,-0.0422,0.3633,loose
17580,0.1855,-0.3232,0.1614,loose
17585,0.3665,-0.0830,0.7822,loose
17590,-0.0847,0.2615,0.9861,loose
17595,-0.2302,0.1665,0.8123,loose
17600,-0.6243,0.1812,0.7427,loose
17605,-0.1606,0.0559,0.5122,loose
17610,-0.0833,-0.0781,0.2288,loose
17615,0.1855,0.4624,0.8132,loose
17620,0.0842,0.3943,0.7793,loose
17625,0.0386,0.1121,0.3816,loose
17630,0.0471,0.3877,0.6716,loose
17635,0.0923,0.3159,0.6079,loose
17640,0.3975,-0.1404,0.5310,loose
17645,0.1101,0.2349,0.8394,loose
17650,0.0337,0.0937,0.3284,loose
17655,0.0708,0.2708,0.7173,loose
17660,0.0264,-0.0996,0.3159,loose
17665,0.3337,-0.0217,0.5745,loose
17670,0.1128,0.2332,0.7703,loose
17675,0.0088,-0.0154,0.2324,loose
17680,-0.2515,-0.0864,0.4517,loose
17685,0.1021,0.2512,0.4768,loose
17690,0.1021,0.2512,0.4768,loose
17695,0.1077,0.1707,0.6462,loose
17700,-0.0195,-0.1360,0.2178,loose
17705,-0.2473,-0.0540,0.5244,loose
17710,0.1270,-0.2046,0.3074,loose
17715,0.3411,0.0222,0.6497,loose
17720,0.0154,0.2427,0.6450,loose
17725,-0.1016,-0.2131,0.2666,loose
17730,-0.2234,0.1206,0.5742,loose
17735,0.1384,-0.2207,0.3088,loose
17740,0.3184,0.0420,0.6897,loose
17745,0.0242,0.2090,0.5078,loose
17750,-0.0764,-0.2988,0.1926,loose
17755,-0.1743,0.1145,0.5815,loose
17760,0.2610,-0.3152,0.2344,loose
17765,0.3779,-0.0183,0.7795,loose
17770,0.0208,0.1412,0.1412,loose
17775,0.0208,0.1479,0.5422,loose
17780,-0.1519,0.0386,0.5244,loose
17785,0.2148,-0.3235,0.1282,loose
17790,-0.0937,0.1306,0.6531,loose
17795,0.0723,0.0857,0.6118,loose
17800,0.0723,0.0857,0.6243,loose
17805,-0.0532,0.1340,0.7341,loose
17810,0.6843,-0.3530,0.1958,loose
17815,0.5337,-0.0989,0.7292,loose
17820,0.0149,0.0442,0.5979,loose
17825,-1.1250,-0.4470,0.1799,loose
17830,0.4045,-0.0439,0.7947,loose
17835,0.8303,-0.1323,0.3950,loose
17840,0.3516,-0.0642,0.7305,loose
17845,-0.1572,0.1123,0.4758,loose
17850,-0.9954,-0.1760,0.2988,loose
17855,-0.0273,0.2095,0.4973,loose
17860,0.3838,0.0588,0.7190,loose
17865,0.3289,0.0752,0.7603,loose
17870,-0.3806,0.0806,0.3767,loose
17875,-0.5703,0.0303,0.4529,loose
17880,0.0745,-0.0217,0.2783,loose
17885,0.6689,0.0454,0.7563,loose
17890,-0.1375,0.1406,0.5908,loose
17895,-0.1458,-0.3770,0.2717,loose
17900,-0.2549,0.1670,0.6436,loose
17905,-0.1748,-0.2847,0.8083,loose
17910,0.2627,0.0322,0.8779,loose
17915,-0.0024,-0.6118,-0.6118,loose
17920,-0.1523,-0.3784,0.2117,loose
17925,-0.1423,0.1782,0.5864,loose
17930,0.3093,-0.2432,0.2637,loose
17935,0.0269,0.1516,0.5247,loose
17940,0.1377,0.4104,1.0667,loose
17945,0.1377,0.4104,0.2776,loose
17950,0.1304,0.1848,0.6814,loose
17955,0.4080,-0.1809,0.3486,loose
17960,0.1030,0.0186,0.7788,loose
17965,-0.0073,0.0112,0.2839,loose
17970,0.0364,0.0200,0.7029,loose
17975,-0.0078,0.1074,0.5569,loose
17980,0.3923,-0.0693,0.4734,loose
17985,0.0298,0.0132,0.7607,loose
17990,0.0115,-0.1846,0.2141,loose
17995,0.0081,0.0566,0.5981,loose
18000,0.1443,-0.2869,0.3169,loose
18005,0.0786,-0.0789,0.7031,loose
18010,0.0786,-0.0789,0.7031,loose
18015,-0.0220,-0.2532,0.1743,loose
18020,-0.2595,-0.0518,0.5742,loose
18025,0.2332,-0.3071,0.2825,loose
18030,0.4763,-0.0833,0.7412,loose
18035,-0.0286,0.1924,0.5413,loose
18040,-0.1565,-0.4456,0.1897,loose
18045,-0.2717,-0.0195,0.6050,loose
18050,0.1477,-0.2744,0.1956,loose
18055,0.5332,-0.1790,0.8428,loose
18060,0.0356,0.0344,0.5171,loose
18065,-0.5105,-0.4578,0.1594,loose
18070,0.2310,-0.0002,0.5408,loose
18075,0.5728,-0.1860,0.2261,loose
18080,0.2502,0.0034,0.8323,loose
18085,0.0157,0.0157,0.0157,loose
18090,-0.7656,-0.3083,0.3037,loose
18095,-0.2061,0.2937,0.6309,loose
18100,1.1411,-0.1091,0.3569,loose
18105,0.1680,0.1301,0.7244,loose
18110,-0.4209,0.3452,0.6465,loose
18115,-1.0164,-0.1111,0.2163,loose
18120,0.4368,0.3235,0.4333,loose
18125,1.1404,-0.1282,0.1978,loose
18130,0.1855,0.2942,0.8130,loose
18135,0.0327,0.1462,0.4478,loose
18140,-0.5842,-0.1479,0.3184,loose
18145,0.0088,0.0793,0.4045,loose
18150,0.4773,-0.0022,0.4219,loose
18155,0.2666,0.1948,0.8137,loose
18160,-0.0344,0.0029,0.3124,loose
18165,-0.4026,-0.0518,0.3328,loose
18170,0.0967,0.0952,0.2683,loose
18175,0.2788,0.3276,0.8667,loose
18180,0.1995,-0.0181,1.0286,loose
18185,0.0276,0.0088,0.2915,loose
18190,-0.3281,-0.4504,0.3232,loose
18195,0.0925,-0.2375,0.3313,loose
18200,0.4592,-0.0198,0.5598,loose
18205,0.0400,0.1658,0.7798,loose
18210,-0.0356,-0.0222,0.3591,loose
18215,-0.2776,-0.2742,0.4182,loose
18220,0.1028,-0.2791,0.2058,loose
18225,0.4121,-0.1626,0.5181,loose
18230,0.1292,0.2209,0.7595,loose
18235,-0.0193,-0.0498,0.2866,loose
18240,-0.2729,-0.0920,0.4600,loose
18245,0.2153,0.0898,0.8750,loose
18250,0.3950,-0.0569,0.5884,loose
18255,0.0686,0.2153,0.7114,loose
18260,-0.1064,-0.2163,0.2710,loose
18265,-0.3352,-0.0391,0.5217,loose
18270,0.1851,-0.2717,0.2639,loose
18275,0.4607,0.0037,0.6638,loose
18280,0.0247,0.2146,0.6255,loose
18285,-0.1194,-0.2693,0.2524,loose
18290,-0.3777,-0.0537,0.5767,loose
18295,0.2021,-0.2449,0.2507,loose
18300,0.2544,-0.3325,0.2292,loose
18305,0.4207,0.1086,0.7603,loose
18310,0.0005,0.2776,0.5208,loose
18315,-0.2437,-0.4595,0.2268,loose
18320,-0.1248,0.1128,0.6279,loose
18325,0.1719,-0.1865,0.1470,loose
18330,0.5366,-0.0388,0.8916,loose
18335,-0.0449,0.1187,0.6389,loose
18340,-0.7429,-0.3713,0.1819,loose
18345,0.1416,0.1233,0.5645,loose
18350,0.6992,-0.2053,0.1174,loose
18355,0.5452,0.0581,0.7976,loose
18360,-0.3530,0.3623,0.6907,loose
18365,-0.8574,-0.2183,0.2366,loose
18370,-0.1062,0.1802,0.6589,loose
18375,0.1494,-0.0786,0.1191,loose
18380,0.7393,0.0120,0.7878,loose
18385,0.0195,0.1624,1.9999,loose
18390,-0.3088,-0.4009,0.2625,loose
18395,0.2378,0.0051,0.8464,loose
18400,0.2449,-0.1299,0.2405,loose
18405,0.5720,0.0000,0.8428,loose
18410,-0.0535,0.1423,0.5862,loose
18415,-0.2659,-0.5020,0.3081,loose
18420,-0.2649,0.0381,0.5615,loose
18425,0.2671,-0.2820,0.1670,loose
18430,0.4663,0.0205,0.7812,loose
