timestamp,accel_x,accel_y,accel_z,label
551,-1.2466,-0.0483,0.4048,normal
46556,0.5203,-0.4937,0.3120,normal
46561,1.5044,-0.1541,0.4160,normal
46566,0.6980,-0.1025,0.5212,normal
46571,-1.1843,0.2559,0.6138,normal
46576,-1.2437,-0.0813,0.3928,normal
46581,0.5378,-0.4653,0.3259,normal
46586,1.5024,-0.1499,0.4189,normal
46591,0.7036,-0.1313,0.4971,normal
46596,-1.2041,0.3010,0.6279,normal
46601,-1.2502,-0.0532,0.3921,normal
46606,0.5398,-0.4829,0.3181,normal
46611,1.5088,-0.1750,0.4170,normal
46616,0.6772,-0.0803,0.5142,normal
46621,-1.2109,0.3269,0.6248,normal
46626,-1.2173,-0.0972,0.3896,normal
46631,0.5620,-0.4993,0.3074,normal
46636,1.5090,-0.1462,0.4187,normal
46641,0.6799,-0.1113,0.5171,normal
46646,-1.2229,0.2988,0.6323,normal
46651,-1.2036,-0.0886,0.3784,normal
46656,0.5483,-0.5063,0.3203,normal
46661,1.4912,-0.1487,0.4304,normal
46666,0.6790,-0.0908,0.5139,normal
46671,-1.1909,0.2900,0.6221,normal
46676,-1.2109,-0.0891,0.3899,normal
46681,0.5063,-0.5066,0.3220,normal
46686,1.5032,-0.1594,0.4302,normal
46691,0.7329,-0.0852,0.5105,normal
46696,-1.1731,0.2561,0.6113,normal
46701,-1.2578,-0.0813,0.4084,normal
46706,0.4382,-0.4622,0.3210,normal
46711,1.4951,-0.1558,0.4231,normal
46716,0.7700,-0.1230,0.5039,normal
46721,-1.1384,0.2944,0.6265,normal
46726,-1.2539,-0.0291,0.4016,normal
46731,0.4053,-0.4905,0.3083,normal
46736,1.4844,-0.1760,0.4106,normal
46741,0.8167,-0.1162,0.5200,normal
46746,-1.1067,0.2454,0.5957,normal
46751,-1.2771,-0.0071,0.4102,normal
46756,0.3647,-0.4983,0.2998,normal
46761,1.4819,-0.1580,0.4199,normal
46766,0.8364,-0.0999,0.5383,normal
46771,-1.1001,0.2617,0.6042,normal
46776,-1.2996,-0.0176,0.4197,normal
46781,0.3293,-0.4932,0.3184,normal
46786,1.4934,-0.1709,0.4001,normal
46791,0.8738,-0.1162,0.5127,normal
46796,-1.0737,0.2683,0.5884,normal
46801,-1.2966,0.0146,0.4287,normal
46806,0.2878,-0.5076,0.3076,normal
46811,1.4814,-0.1919,0.4075,normal
46816,0.8945,-0.1523,0.5190,normal
46821,-1.0398,0.2458,0.5872,normal
46826,-1.3127,0.0427,0.4353,normal
46831,0.2656,-0.4971,0.2986,normal
46836,1.4744,-0.2087,0.3982,normal
46841,0.9458,-0.1128,0.5225,normal
46846,-1.0435,0.2639,0.5928,normal
46851,-1.3154,0.0471,0.4451,normal
46856,0.1887,-0.4973,0.3057,normal
46861,1.4719,-0.2002,0.3948,normal
46866,0.9707,-0.1213,0.5312,normal
46871,-0.9961,0.2483,0.5889,normal
46876,-1.3303,0.0679,0.4600,normal
46881,0.1704,-0.5259,0.2776,normal
46886,1.4419,-0.2068,0.4031,normal
46891,1.0103,-0.1287,0.5171,normal
46896,-0.9312,0.2024,0.5710,normal
46901,-1.3613,0.0933,0.4805,normal
46906,0.0828,-0.4839,0.2942,normal
46911,1.4539,-0.2192,0.3818,normal
46916,1.0569,-0.1157,0.5320,normal
46921,-0.8867,0.1919,0.5552,normal
46926,-1.3616,0.1006,0.4783,normal
46931,-0.0188,-0.5061,0.2756,normal
46936,1.4314,-0.2473,0.3801,normal
46941,1.1167,-0.1182,0.5342,normal
46946,-0.7932,0.2002,0.5540,normal
46951,-1.3921,0.1245,0.5168,normal
46956,-0.0930,-0.4968,0.2644,normal
46961,1.4041,-0.2266,0.3718,normal
46966,1.1592,-0.1345,0.5303,normal
46971,-0.7073,0.1411,0.5388,normal
46976,-1.4148,0.1685,0.5244,normal
46981,-0.1802,-0.4741,0.2646,normal
46986,1.3926,-0.2334,0.3718,normal
46991,1.1914,-0.0989,0.5486,normal
